"filename", "language", "JSON", "Markdown", "JavaScript", "PostCSS", "HTML", "comment", "blank", "total"
"e:\project_s3\project_sem3\README.md", "Markdown", 0, 118, 0, 0, 0, 0, 35, 153
"e:\project_s3\project_sem3\aeronix.html", "HTML", 0, 0, 0, 0, 1708, 136, 275, 2119
"e:\project_s3\project_sem3\airburds.html", "HTML", 0, 0, 0, 0, 2065, 16, 299, 2380
"e:\project_s3\project_sem3\drone-description.css", "PostCSS", 0, 0, 0, 360, 0, 8, 68, 436
"e:\project_s3\project_sem3\drone.html", "HTML", 0, 0, 0, 0, 2430, 20, 359, 2809
"e:\project_s3\project_sem3\files\README.md", "Markdown", 0, 118, 0, 0, 0, 0, 35, 153
"e:\project_s3\project_sem3\files\index.html", "HTML", 0, 0, 0, 0, 393, 3, 73, 469
"e:\project_s3\project_sem3\files\package.json", "JSON", 15, 0, 0, 0, 0, 0, 1, 16
"e:\project_s3\project_sem3\files\server.js", "JavaScript", 0, 0, 98, 0, 0, 15, 24, 137
"e:\project_s3\project_sem3\headphones.html", "HTML", 0, 0, 0, 0, 2015, 16, 295, 2326
"e:\project_s3\project_sem3\index.html", "HTML", 0, 0, 0, 0, 709, 7, 126, 842
"e:\project_s3\project_sem3\package-lock.json", "JSON", 945, 0, 0, 0, 0, 0, 1, 946
"e:\project_s3\project_sem3\package.json", "JSON", 16, 0, 0, 0, 0, 0, 1, 17
"e:\project_s3\project_sem3\script.js", "JavaScript", 0, 0, 708, 0, 0, 456, 239, 1403
"e:\project_s3\project_sem3\server.js", "JavaScript", 0, 0, 164, 0, 0, 13, 28, 205
"e:\project_s3\project_sem3\style.css", "PostCSS", 0, 0, 0, 3641, 0, 1600, 751, 5992
"Total", "-", 976, 236, 970, 4001, 9320, 2290, 2610, 20403