"filename", "language", "JavaScript", "PostCSS", "HTML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\README.md", "Markdown", 0, 0, 0, 0, 30, 0, 15, 45
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\TODO.md", "Markdown", 0, 0, 0, 0, 32, 0, 7, 39
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\aeronix.html", "HTML", 0, 0, 584, 0, 0, 125, 81, 790
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\airburds.css", "PostCSS", 0, 1035, 0, 0, 0, 12, 179, 1226
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\airburds.html", "HTML", 0, 0, 209, 0, 0, 12, 29, 250
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\airburds.js", "JavaScript", 468, 0, 0, 0, 0, 17, 53, 538
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\auth.js", "JavaScript", 219, 0, 0, 0, 0, 6, 42, 267
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\drone-description.css", "PostCSS", 0, 362, 0, 0, 0, 8, 68, 438
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\drone.css", "PostCSS", 0, 1318, 0, 0, 0, 22, 234, 1574
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\drone.html", "HTML", 0, 0, 210, 0, 0, 8, 23, 241
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\drone.js", "JavaScript", 464, 0, 0, 0, 0, 3, 43, 510
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\files\README.md", "Markdown", 0, 0, 0, 0, 118, 0, 35, 153
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\files\index.html", "HTML", 0, 0, 415, 0, 0, 3, 72, 490
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\files\package.json", "JSON", 0, 0, 0, 15, 0, 0, 1, 16
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\files\server.js", "JavaScript", 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\headphones.css", "PostCSS", 0, 1090, 0, 0, 0, 13, 186, 1289
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\headphones.html", "HTML", 0, 0, 210, 0, 0, 12, 26, 248
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\headphones.js", "JavaScript", 524, 0, 0, 0, 0, 18, 54, 596
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\home.css", "PostCSS", 0, 1191, 0, 0, 0, 30, 201, 1422
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\home.js", "JavaScript", 52, 0, 0, 0, 0, 8, 18, 78
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\index.html", "HTML", 0, 0, 96, 0, 0, 5, 22, 123
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\navbar.js", "JavaScript", 287, 0, 0, 0, 0, 1, 31, 319
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\package-lock.json", "JSON", 0, 0, 0, 828, 0, 0, 1, 829
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\package.json", "JSON", 0, 0, 0, 17, 0, 0, 1, 18
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\script.js", "JavaScript", 705, 0, 0, 0, 0, 458, 239, 1402
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\server.js", "JavaScript", 10, 0, 0, 0, 0, 0, 5, 15
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\session.js", "JavaScript", 310, 0, 0, 0, 0, 0, 46, 356
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\signin.css", "PostCSS", 0, 353, 0, 0, 0, 3, 62, 418
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\sponsor.html", "HTML", 0, 0, 343, 0, 0, 1, 11, 355
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\style.css", "PostCSS", 0, 4664, 0, 0, 0, 5, 1061, 5730
"c:\Users\Devarsh\Desktop\Coding\Aeronix\Aeronix\users.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 20
"e:\project_s3\project_sem3\README.md", "Markdown", 0, 0, 0, 0, -118, 0, -35, -153
"e:\project_s3\project_sem3\aeronix.html", "HTML", 0, 0, -1708, 0, 0, -136, -275, -2119
"e:\project_s3\project_sem3\airburds.html", "HTML", 0, 0, -2065, 0, 0, -16, -299, -2380
"e:\project_s3\project_sem3\drone-description.css", "PostCSS", 0, -360, 0, 0, 0, -8, -68, -436
"e:\project_s3\project_sem3\drone.html", "HTML", 0, 0, -2430, 0, 0, -20, -359, -2809
"e:\project_s3\project_sem3\files\README.md", "Markdown", 0, 0, 0, 0, -118, 0, -35, -153
"e:\project_s3\project_sem3\files\index.html", "HTML", 0, 0, -393, 0, 0, -3, -73, -469
"e:\project_s3\project_sem3\files\package.json", "JSON", 0, 0, 0, -15, 0, 0, -1, -16
"e:\project_s3\project_sem3\files\server.js", "JavaScript", -98, 0, 0, 0, 0, -15, -24, -137
"e:\project_s3\project_sem3\headphones.html", "HTML", 0, 0, -2015, 0, 0, -16, -295, -2326
"e:\project_s3\project_sem3\index.html", "HTML", 0, 0, -709, 0, 0, -7, -126, -842
"e:\project_s3\project_sem3\package-lock.json", "JSON", 0, 0, 0, -945, 0, 0, -1, -946
"e:\project_s3\project_sem3\package.json", "JSON", 0, 0, 0, -16, 0, 0, -1, -17
"e:\project_s3\project_sem3\script.js", "JavaScript", -708, 0, 0, 0, 0, -456, -239, -1403
"e:\project_s3\project_sem3\server.js", "JavaScript", -164, 0, 0, 0, 0, -13, -28, -205
"e:\project_s3\project_sem3\style.css", "PostCSS", 0, -3641, 0, 0, 0, -1600, -751, -5992
"Total", "-", 2084, 6012, -7253, -96, -56, -1520, 241, -588